model,params,mean_test_score,mean_fit_time
logistic_regression,"{'C': 10000.0, 'penalty': 'l2', 'solver': 'saga'}",0.8294668585712165,6.827098449071248
logistic_regression,"{'C': 10000.0, 'penalty': 'none', 'solver': 'newton-cg'}",0.8291960515619284,1.8328735033671062
logistic_regression,"{'C': 10000.0, 'penalty': 'none', 'solver': 'lbfgs'}",0.8291960515619284,1.6350521246592205
logistic_regression,"{'C': 10000.0, 'penalty': 'none', 'solver': 'saga'}",0.8295571438727695,5.7061623732248945
k_nearest_neighbors,"{'metric': 'l1', 'n_neighbors': 2}",0.6504481945237771,0.022663990656534832
k_nearest_neighbors,"{'metric': 'l1', 'n_neighbors': 3}",0.6850249713546472,0.02233155568440755
k_nearest_neighbors,"{'metric': 'l1', 'n_neighbors': 4}",0.6917952688252799,0.022664546966552734
k_nearest_neighbors,"{'metric': 'l1', 'n_neighbors': 5}",0.6944136648087403,0.02266661326090495
k_nearest_neighbors,"{'metric': 'l1', 'n_neighbors': 6}",0.6951348959706988,0.022332111994425457
k_nearest_neighbors,"{'metric': 'l1', 'n_neighbors': 7}",0.6999193813131869,0.021999518076578777
k_nearest_neighbors,"{'metric': 'l1', 'n_neighbors': 8}",0.7013642884056265,0.02218341827392578
k_nearest_neighbors,"{'metric': 'l2', 'n_neighbors': 2}",0.6439478483934498,0.023009856541951496
k_nearest_neighbors,"{'metric': 'l2', 'n_neighbors': 3}",0.6828576351636729,0.021666606267293293
k_nearest_neighbors,"{'metric': 'l2', 'n_neighbors': 4}",0.6843015399010182,0.023999452590942383
k_nearest_neighbors,"{'metric': 'l2', 'n_neighbors': 5}",0.6909823588437106,0.023333628972371418
k_nearest_neighbors,"{'metric': 'l2', 'n_neighbors': 6}",0.693419841956472,0.022333383560180664
k_nearest_neighbors,"{'metric': 'l2', 'n_neighbors': 7}",0.6947740970320804,0.022333065668741863
k_nearest_neighbors,"{'metric': 'l2', 'n_neighbors': 8}",0.6963987435063282,0.021000146865844727
svm,"{'C': 0.1, 'gamma': 0.0001}",0.3467548680475306,4.487512429555257
svm,"{'C': 0.1, 'gamma': 0.002154434690031882}",0.5260444857903698,3.6461779276529946
svm,"{'C': 0.1, 'gamma': 0.046415888336127774}",0.6911616826148697,1.812998612721761
svm,"{'C': 0.1, 'gamma': 1.0}",0.6146949950796589,3.8071794509887695
svm,"{'C': 1.7782794100389228, 'gamma': 0.0001}",0.4991421307252934,3.749512195587158
